ibge_code,municipio,sre
3200102,Afonso Cláudio,Afonso Cláudio
3200169,Água Doce do Norte,Barra de São Francisco
3200136,Águia Branca,Barra de São Francisco
3200201,Alegre,Comendadora Jurema Moretz Sohn
3200300,Alfredo Chaves,Vila Velha
3200359,Alto Rio Novo,Colatina
3200409,Anchieta,Vila Velha
3200508,Apiacá,Comendadora Jurema Moretz Sohn
3200607,Aracruz,Linhares
3200706,Atílio Vivácqua,Cachoeiro de Itapemirim
3200805,Baixo Guandu,Colatina
3200904,Barra de São Francisco,Barra de São Francisco
3201001,Boa Esperança,Nova Venécia
3201100,Bom Jesus do Norte,Comendadora Jurema Moretz Sohn
3201159,Brejetuba,Afonso Cláudio
3201209,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim
3201308,Cariacica,Cariacica
3201407,Castelo,Cachoeiro de Itapemirim
3201506,Colatina,Colatina
3201605,Conceição da Barra,São Mateus
3201704,Conceição do Castelo,Afonso Cláudio
3201803,Divino de São Lourenço,Comendadora Jurema Moretz Sohn
3201902,Domingos Martins,Afonso Cláudio
3202009,Dores do Rio Preto,Comendadora Jurema Moretz Sohn
3202108,Ecoporanga,Barra de São Francisco
3202207,Fundão,Carapina
3202256,Governador Lindenberg,Colatina
3202306,Guaçuí,Comendadora Jurema Moretz Sohn
3202405,Guarapari,Vila Velha
3202454,Ibatiba,Comendadora Jurema Moretz Sohn
3202504,Ibiraçu,Linhares
3202553,Ibitirama,Comendadora Jurema Moretz Sohn
3202603,Iconha,Cachoeiro de Itapemirim
3202652,Irupi,Comendadora Jurema Moretz Sohn
3202702,Itaguaçu,Colatina
3202801,Itapemirim,Cachoeiro de Itapemirim
3202900,Itarana,Colatina
3203007,Iúna,Comendadora Jurema Moretz Sohn
3203056,Jaguaré,São Mateus
3203106,Jerônimo Monteiro,Cachoeiro de Itapemirim
3203130,João Neiva,Linhares
3203163,Laranja da Terra,Afonso Cláudio
3203205,Linhares,Linhares
3203304,Mantenópolis,Barra de São Francisco
3203320,Marataízes,Cachoeiro de Itapemirim
3203346,Marechal Floriano,Cariacica
3203353,Marilândia,Colatina
3203403,Mimoso do Sul,Cachoeiro de Itapemirim
3203502,Montanha,Nova Venécia
3203601,Mucurici,Nova Venécia
3203700,Muniz Freire,Comendadora Jurema Moretz Sohn
3203809,Muqui,Cachoeiro de Itapemirim
3203908,Nova Venécia,Nova Venécia
3204005,Pancas,Colatina
3204054,Pedro Canário,São Mateus
3204104,Pinheiros,Nova Venécia
3204203,Piúma,Vila Velha
3204252,Ponto Belo,Nova Venécia
3204302,Presidente Kennedy,Cachoeiro de Itapemirim
3204351,Rio Bananal,Linhares
3204401,Rio Novo do Sul,Cachoeiro de Itapemirim
3204500,Santa Leopoldina,Cariacica
3204559,Santa Maria de Jetibá,Afonso Cláudio
3204609,Santa Teresa,Carapina
3204658,São Domingos do Norte,Colatina
3204708,São Gabriel da Palha,Nova Venécia
3204807,São José do Calçado,Comendadora Jurema Moretz Sohn
3204906,São Mateus,São Mateus
3204955,São Roque do Canaã,Colatina
3205002,Serra,Carapina
3205010,Sooretama,Linhares
3205036,Vargem Alta,Cachoeiro de Itapemirim
3205069,Venda Nova do Imigrante,Afonso Cláudio
3205101,Viana,Cariacica
3205150,Vila Pavão,Nova Venécia
3205176,Vila Valério,Nova Venécia
3205200,Vila Velha,Vila Velha
3205309,Vitória,Carapina
